SHS_SPECIES,SPECIES,STOCK
BLACKBACK GB,WINTER FLOUNDER,GEORGES BANK
BLACKBACK GOM,WINTER FLOUNDER,GULF OF MAINE
BLACKBACK SNE,WINTER FLOUNDER,SOUTHERN NEW ENGLAND
COD GBE,ATLANTIC COD,EASTERN GEORGES BANK
COD GBW,ATLANTIC COD,WESTERN GEORGES BANK
COD GOM,ATLANTIC COD,GULF OF MAINE
HADDOCK GOM,HADDOCK,GULF OF MAINE
HADDOCK GBE,HADDOCK,EASTERN GEORGES BANK
HADDOCK GBW,HADDOCK,WESTERN GEORGES BANK
POLLOCK,POLLOCK,ALL
"HAKE, WHITE",WHITE HAKE,ALL
PLAICE,AMERICAN PLAICE,ALL
REDFISH,ACADIAN REDFISH,ALL
WITCH,WITCH FLOUNDER,ALL
YELLOWTAIL CCGOM,YELLOWTAIL FLOUNDER,CAPE COD / GULF OF MAINE
YELLOWTAIL GB,YELLOWTAIL FLOUNDER,GEORGES BANK
YELLOWTAIL SNE,YELLOWTAIL FLOUNDER,SOUTHERN NEW ENGLAND
