PEBKAC,ITIS,AFS,GROUNDFISH
ALB,172419,ALBACORE,FALSE
ALBACORE,172419,ALBACORE,FALSE
ALEWIFE,161706,ALEWIFE,FALSE
ALWF,161706,ALEWIFE,FALSE
AMERICANEEL,161127,AMERICAN EEL,FALSE
LOB,097314,AMERICAN LOBSTER,FALSE
LOBSTER,097314,AMERICAN LOBSTER,FALSE
American plaice flounder,172877,AMERICAN PLAICE,TRUE
AMERICAN PLAICE(AMERICAN PLAICE),172877,AMERICAN PLAICE,TRUE
American Plaice(FLDAB),172877,AMERICAN PLAICE,TRUE
FLDAB,172877,AMERICAN PLAICE,TRUE
FLOUNDER AMERICAN PLAICE,172877,AMERICAN PLAICE,TRUE
FLOUNDERAM. PLAICE,172877,AMERICAN PLAICE,TRUE
PLAICE,172877,AMERICAN PLAICE,TRUE
SHAD,161702,AMERICAN SHAD,FALSE
SHAD,161702,AMERICAN SHAD,FALSE
ANCH,161826,ANCHOVIES,FALSE
ANCHOVY,161826,ANCHOVIES,FALSE
Atlantic cod,164712,ATLANTIC COD,TRUE
Atlantic Cod(Atlantic cod),164712,ATLANTIC COD,TRUE
Atlantic Cod(COD),164712,ATLANTIC COD,TRUE
COD,164712,ATLANTIC COD,TRUE
COD ATLANTIC,164712,ATLANTIC COD,TRUE
Atlantic halibut,172933,ATLANTIC HALIBUT,TRUE
Atlantic Halibut(Atlantic halibut),172933,ATLANTIC HALIBUT,TRUE
Atlantic Halibut(HAL),172933,ATLANTIC HALIBUT,TRUE
HAL,172933,ATLANTIC HALIBUT,TRUE
HALIBUT,172933,ATLANTIC HALIBUT,TRUE
HALIBUT ATLANTIC,172933,ATLANTIC HALIBUT,TRUE
HALIBUTATLANTIC,172933,ATLANTIC HALIBUT,TRUE
HERR,161722,ATLANTIC HERRING,FALSE
HERRING,161722,ATLANTIC HERRING,FALSE
HERRINGATLANTIC,161722,ATLANTIC HERRING,FALSE
MACKEREL,172414,ATLANTIC MACKEREL,FALSE
